id,Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
1652,To Have and To Hold,Patricia Gaffney,Romance;Historical Romance;Romance;Historical;Historical;Regency;Fiction,March 4th 2003,384,NAL Trade,English
1653,Sins & Needles,Karina Halle,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Adult,January 25th 2013,438,Metal Blonde Books,English
1654,Marked by Midnight,Lara Adrian,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Vampires;Romance,June 30th 2014,146,Lara Adrian; LLC,English
1655,Shadowland,Meg Cabot,Young Adult;Fantasy;Paranormal;Fantasy;Romance;Paranormal;Ghosts,,287,Avon Books,English
1656,Can't Get Enough,Sarah Mayberry,Romance;Romance;Contemporary Romance;Category Romance;Harlequin;Contemporary;Harlequin;Harlequin Blaze,October 1st 2005,250,Harlequin,English
1657,The Devil Wears Plaid,Teresa Medeiros,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Cultural;Scotland,August 24th 2010,407,Pocket Books,English
1658,Anything for You,Sarah Mayberry,Romance;Romance;Contemporary Romance;Contemporary;Category Romance;Harlequin;Harlequin;Harlequin Blaze;Romance;Category Romance,September 1st 2006,248,Harlequin Books,English
1659,Underworld,Meg Cabot,Young Adult;Fantasy;Fantasy;Mythology;Romance;Fantasy;Paranormal,May 8th 2012,336,Point,English
1660,A Duke of Her Own,Eloisa James,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,July 28th 2009,386,Avon,English
1661,The Fall Up,Aly Martinez,Romance;New Adult;Romance;Contemporary Romance;Contemporary;Did Not Finish,October 20th 2015,262,Createspace Independent Publishing Platform,
1662,Once Upon a Winter's Eve,Tessa Dare,Romance;Romance;Historical Romance;Historical;Novella;Historical;Historical Fiction;Historical;Regency,November 15th 2011,113,Samhain Publishing,English
1663,Ruining Me,Nicole Reed,New Adult;Romance;Young Adult;Contemporary,September 26th 2012,149,,
1664,Sen,Selvi Atıcı,Asian Literature;Turkish Literature;Cultural;Turkish,May 15th 2015,424,Müptela Yayınları,None
1665,One Night of Sin,Gaelen Foley,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical Romance;Regency Romance,May 31st 2005,471,Ivy Books,
1666,One Dance with a Duke,Tessa Dare,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,May 25th 2010,384,Ballantine Books,English
1667,The Queen of Attolia,Megan Whalen Turner,Fantasy;Young Adult;Fiction;Adventure;Romance,January 24th 2006,362,Eos,English
1668,Caroline and the Raider,Linda Lael Miller,Romance;Romance;Historical Romance;Historical;Westerns;Romance;Western Romance,March 1st 1992,384,Pocket Books,English
1669,Sapphire Ice,Hallee Bridgeman,Christian Fiction;Christian;Romance;Romance;Christian Romance;Contemporary;Romance;Contemporary Romance,March 26th 2012,244,Olivia Kimbrell Press,
1670,Bir Günah Gibi,Burcu Büyükyıldız,Cultural;Turkish,April 30th 2015,640,Ephesus Yayınları,
1671,The Iron Knight,Julie Kagawa,Fantasy;Young Adult;Romance;Fantasy;Paranormal;Paranormal;Fairies,October 26th 2011,400,Harlequin TEEN,English
1672,The Ivy Tree,Mary  Stewart,Mystery;Romance;Fiction;Gothic;Romance;Romantic Suspense;Suspense;Historical;Historical Fiction,December 4th 2001,400,HarperTorch,English
1673,The Persimmon Tree,Bryce Courtenay,Historical;Historical Fiction;Fiction;Audiobook,June 5th 2007,711,Viking,English
1674,Undeniable,Madeline Sheehan,Romance;Dark;Contemporary,October 25th 2012,219,Madeline Sheehan,
1675,First Drop of Crimson,Jeaniene Frost,Paranormal;Vampires;Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Urban Fantasy;Fantasy,February 9th 2010,371,Avon Books,English
1676,Beautiful Broken Rules,Kimberly Lauren,New Adult;Romance;Academic;College;Contemporary;Romance;Contemporary Romance,May 14th 2013,225,,None
1677,Into the Dark,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance,April 27th 2010,394,Harlequin,
1678,On the Edge,Ilona Andrews,Fantasy;Urban Fantasy;Fantasy;Romance;Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Magic,October 2009,309,Ace,English
1679,Ashes,Ilsa J. Bick,Young Adult;Horror;Zombies;Science Fiction;Dystopia;Horror;Apocalyptic;Post Apocalyptic,September 6th 2011,465,Egmont USA,English
1680,Where There's Smoke,Sandra Brown,Romance;Mystery;Suspense;Romance;Romantic Suspense;Contemporary,May 1st 1994,512,Grand Central Publishing (Formerly Warner Books),English
1681,Kiss of Steel,Bec McMaster,Science Fiction;Steampunk;Romance;Fantasy;Paranormal;Paranormal;Vampires;Fantasy;Romance;Paranormal Romance;Fantasy;Urban Fantasy,September 4th 2012,448,Sourcebooks Casablanca,English
1682,Uncovered,Linda Winfree,Romance;Romance;Romantic Suspense;Contemporary;Romance;Contemporary Romance,July 1st 2009,272,Samhain Publishing; Ltd.,
1683,Texas Glory,Lorraine Heath,Romance;Historical Romance;Romance;Westerns;Historical;Romance;Western Romance,,358,Topaz,English
1684,The Countess Conspiracy,Courtney Milan,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction,December 16th 2013,309,Courtney Milan,English
1685,Fortune's Fool,Mercedes Lackey,Fantasy;Romance;Fantasy;Fairy Tales;Fiction;Fantasy;Magic,March 1st 2007,362,Luna Books,English
1686,The Rocker That Holds Me,Terri Anne Browning,Romance;New Adult;Contemporary;Music;Romance;Contemporary Romance,January 24th 2013,102,Anna Henson,
1687,Lady Chatterley's Lover,D.H. Lawrence;Doris Lessing;Chester Brown,Classics;Fiction;Romance;Literature,October 31st 2006,364,Penguin Classics,English
1688,Heartbeat,Danielle Steel,Romance;Fiction;Womens Fiction;Chick Lit,May 29th 2007,432,Dell,English
1689,Sweet on You,Kate Perry,Romance;Romance;Contemporary Romance;Contemporary,December 20th 2012,188,Phoenix Rising Enterprises; Inc,
1690,Beware a Scot's Revenge,Sabrina Jeffries,Romance;Historical Romance;Romance;Historical;Historical;Regency,May 22nd 2007,384,Pocket Books,English
1691,Getting Rid of Bradley,Jennifer Crusie,Romance;Womens Fiction;Chick Lit;Romance;Contemporary Romance;Contemporary;Fiction;Mystery;Humor;Funny,November 1st 2001,248,Mira,English
1692,The House on the Strand,Daphne du Maurier;Celia Brayfield,Fiction;Historical;Historical Fiction;Science Fiction;Time Travel;Classics;Mystery;Fantasy;Science Fiction,May 1st 2003,329,Virago Press Ltd,English
1693,Serendipity,Carly Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit,September 6th 2011,283,Berkley,English
1694,Silver Lining,Maggie Osborne,Romance;Historical Romance;Romance;Historical;Westerns;Historical;Historical Fiction;Romance;Western Romance,January 4th 2000,352,Ivy Books,English
1695,The Indigo Spell,Richelle Mead,Young Adult;Paranormal;Vampires;Fantasy;Fantasy;Paranormal;Romance,February 12th 2013,401,Razorbill / Penguin Group,English
1696,Unstoppable Love & Happiness,K. Fowler,Family Law;Divorce,December 12th 2012,205,,None
1697,Just Ella,Margaret Peterson Haddix,Fantasy;Young Adult;Fantasy;Fairy Tales;Romance;Fiction,,None,,
1698,Torture to Her Soul,J.M. Darhower,Dark;Romance;New Adult;Contemporary,September 29th 2014,394,,None
1699,Trial by Desire,Courtney Milan,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fiction,October 1st 2010,368,HQN Books,
1700,The Blessing,Jude Deveraux,Romance;Romance;Contemporary Romance;Contemporary;Fiction,June 1st 1999,336,Pocket Star,English
1701,Fifth Grave Past the Light,Darynda Jones;Lorelei King,Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Fantasy;Romance;Paranormal Romance;Mystery,July 9th 2013,339,St. Martin's Press,English
1702,Opposition,Jennifer L. Armentrout,Fantasy;Paranormal;Romance;Fantasy;Young Adult;Science Fiction;Aliens;Science Fiction,August 5th 2014,533,Entangled Teen,English
1703,Dream of You,Kate Perry,Romance;Romance;Contemporary Romance;Contemporary,October 17th 2012,295,Phoenix Rising Enterprises; Inc,
1704,Ever,Gail Carson Levine,Fantasy;Young Adult;Romance;Fantasy;Fairy Tales;Fiction;Fantasy;Mythology,May 6th 2008,244,HarperCollins,English
1705,Infini,Krista Ritchie;Becca Ritchie,New Adult;Romance;Contemporary;Romance;Contemporary Romance,January 31st 2017,465,K.B. Ritchie,
1706,Mate Set,Laurann Dohner,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Shapeshifters;Romance;Adult Fiction;Erotica;Shapeshifters;Werewolves,September 3rd 2010,179,Ellora's Cave Publishing,
1707,Penmarric,Susan Howatch,Historical;Historical Fiction;Fiction;Historical;Romance,June 21st 1985,718,Pan Books,English
1708,Anywhere with You,Kaylee Ryan,New Adult;Romance;Academic;College;Sports and Games;Sports;Contemporary;Contemporary Romance;Sports Romance,August 27th 2013,217,Self Published,
1709,Better When He's Bold,Jay Crownover,Romance;New Adult;Contemporary;Romance;Contemporary Romance,February 3rd 2015,400,William Morrow & Company,
1710,Saving Grace,Elizabeth   Marshall,Fantasy;Paranormal;Romance;Science Fiction;Time Travel;Paranormal;Ghosts;Fantasy,,None,Createspace,English
1711,You Don't Know Jack,Erin McCarthy,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Adult,October 1st 2006,255,Brava,English
1712,Dark Needs at Night's Edge,Kresley Cole,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Vampires;Fantasy,April 29th 2008,368,Pocket Books,English
1713,The Blood of Roses,Marsha Canham,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Cultural;Scotland,May 11th 1998,564,Dell Publishing Company,English
1714,My Brother Michael,Mary  Stewart,Mystery;Romance;Fiction;Romance;Romantic Suspense;Suspense;Gothic,December 4th 2001,400,HarperTorch,English
1715,Baby Proof,Emily Giffin,Womens Fiction;Chick Lit;Romance;Fiction,June 13th 2006,340,St. Martin's Press,English
1716,American Savages,J.J. McAvoy,Romance;Dark;Adult;Contemporary,March 19th 2015,388,NYLA,
1717,Edge of Passion,Tina Folsom,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Fantasy,March 7th 2012,None,,
1718,Linus & The Angel,R.E. Butler,Romance;Paranormal Romance;Fantasy;Paranormal;Shapeshifters;Werewolves;Romance;Paranormal;Shapeshifters,March 14th 2012,163,,
1719,Looking for You,Kate Perry,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit,August 23rd 2012,337,Phoenix Rising Enterprises; Inc.,
1720,Fairest,Gail Carson Levine,Fantasy;Young Adult;Fantasy;Fairy Tales;Romance;Fiction,September 19th 2006,326,HarperCollins,English
1721,Awaken,Meg Cabot,Young Adult;Fantasy;Romance;Fantasy;Paranormal;Fantasy;Mythology,July 2nd 2013,343,Point,English
1722,The Nonesuch,Georgette Heyer,Romance;Historical;Historical Fiction;Historical;Regency;Romance;Historical Romance;Historical;Fiction;Historical Romance;Regency Romance,January 6th 2005,304,Arrow,
1723,First Debt,Pepper Winters,Romance;Dark;Adult Fiction;Erotica;Erotica;Bdsm,November 12th 2014,316,CreateSpace,English
1724,Night Road,Kristin Hannah,Fiction;Womens Fiction;Chick Lit;Romance;Contemporary,March 22nd 2011,385,St. Martin's Press,English
1725,A Kiss at Midnight,Eloisa James,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Fantasy;Fairy Tales;Historical;Regency,July 27th 2010,370,Avon,English
1726,Loving Mr. Daniels,Brittainy C. Cherry,Romance;New Adult;Contemporary,May 11th 2014,310,,
1727,Wizard's First Rule,Terry Goodkind,Fantasy;Fiction;Fantasy;Epic Fantasy,April 14th 2003,836,Tor Books,
1728,The Day of the Butterfly,Norah Lofts,Historical;Historical Fiction;Fiction;Romance;Historical;Romance;Historical Romance,March 12th 1981,320,Fawcett,English
1729,Close to You,Kate Perry,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit,February 22nd 2012,260,Kate Perry,
1730,Rowdy,Jay Crownover,Romance;New Adult;Contemporary;Romance;Contemporary Romance,October 21st 2014,332,William Morrow Paperbacks,
1731,Bride of the Lion,Elizabeth  Stuart,Romance;Historical Romance;Historical;Medieval;Historical;Romance;Historical Romance;Medieval Romance,August 1st 1995,376,St Martins Mass Market Paper,English
1732,Until the Sun Falls from the Sky,Kristen Ashley,Paranormal;Vampires;Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Fantasy,February 22nd 2012,513,Kristen Ashley,
1733,About Last Night,Ruthie Knox,Romance;Romance;Contemporary Romance;Contemporary;Adult;Adult Fiction;Erotica,June 11th 2012,216,Random House Publishing Group,English
1734,Nauti Dreams,Lora Leigh,Romance;Adult Fiction;Erotica;Romance;Erotic Romance;Romance;Contemporary Romance;Romance;Romantic Suspense;Contemporary,August 5th 2008,340,Berkley Sensation,English
1735,Maybe Not,Colleen Hoover,New Adult;Romance;Contemporary;Novella,November 24th 2014,130,Atria Books,
1736,10 Days in Paradise,Dawn Halliday,Romance;Contemporary Romance;Romance;Erotic Romance;Adult Fiction;Erotica;Romance;Contemporary,April 22nd 2008,242,Samhain Publishing,English
1737,A Comfortable Wife,Stephanie Laurens,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical Romance;Regency Romance;Historical;Historical Fiction,January 1st 2002,304,Harlequin Books,English
1738,Crystal Cove,Lisa Kleypas,Romance;Romance;Contemporary Romance;Contemporary;Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy,February 5th 2013,320,Piatkus Books,English
1739,Friends Without Benefits,Penny Reid,Romance;Romance;Contemporary Romance;Contemporary;Humor;Funny;Womens Fiction;Chick Lit,September 29th 2013,424,Caped Publishing,
1740,The Reasons For Marriage,Stephanie Laurens,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical Romance;Regency Romance;Fiction;Historical;Historical Fiction,December 25th 2003,298,Mira Books,English
1741,Thornyhold,Mary  Stewart,Fiction;Mystery;Romance;Gothic;Fantasy;Historical;Historical Fiction,,207,William Morrow,English
1742,Bound by Your Touch,Meredith Duran,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Victorian,June 30th 2009,346,Pocket Books,English
1743,A Lady's Lesson in Scandal,Meredith Duran,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Fiction,June 28th 2011,385,Pocket Star,English
1744,A Job From Hell,Jayde Scott,Paranormal;Vampires;Fantasy;Paranormal;Young Adult;Romance;Fantasy,May 1st 2011,371,,English
1745,Touching Smoke,Airicka Phoenix,Fantasy;Paranormal;Fantasy;Young Adult;Romance;Romance;Paranormal Romance;Fantasy;Supernatural,July 31st 2012,320,Fire & Ash Publishing,
1746,The Iron Duke,Meljean Brook,Science Fiction;Steampunk;Romance;Fantasy;Romance;Paranormal Romance;Horror;Zombies;Fantasy;Paranormal;Science Fiction,October 5th 2010,384,Berkley,English
1747,Shade's Fall,Jamie Begley,Romance;Erotica;Bdsm,March 19th 2014,457,Young Ink Press,English
1748,Knox's Stand,Jamie Begley,Romance;Romance;Contemporary Romance,October 31st 2013,247,Young Ink Press; LLC,
1749,Viper's Run,Jamie Begley,Romance;Romance;Contemporary Romance,January 17th 2014,277,Young Ink Press; LLC,;
1750,Razer's Ride,Jamie Begley,Romance;Adult Fiction;Erotica,June 8th 2013,229,Young Ink Press; LLC,
1751,All or Nothing,Dee Tenorio,Romance;Contemporary Romance;Romance;Contemporary;Adult Fiction;Erotica,,165,,
1752,Nauti Nights,Lora Leigh,Romance;Adult Fiction;Erotica;Romance;Erotic Romance;Romance;Contemporary Romance;Contemporary;Romance;Romantic Suspense,November 1st 2007,344,Berkley HEAT,English
1753,The Year of My Indian Prince,Ella Thorp Ellis,Historical;Historical Fiction;Romance;Young Adult;Historical,July 9th 2002,224,Laurel Leaf,English
1754,Promise Me Light,Paige Weaver,Romance;New Adult;Science Fiction;Dystopia;Romance;Contemporary Romance,September 24th 2013,375,Paige Weaver,
1755,Haunting Grace,Elizabeth   Marshall,Fantasy;Paranormal;Romance;Fantasy;Paranormal;Ghosts,September 27th 2011,33,Createspace,English
1756,Her Reluctant Groom,Rose Gordon,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,October 13th 2011,201,Night Shift Publishing,
1757,Ice,penny88,,,None,,None
1758,Neophyte,T.D. McMichael,Young Adult,March 28th 2012,386,Magnus Corner Books,
1759,The Beginning of Dying,Stephanie Zia,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary,June 6th 2012,246,CreateSpace,English
1760,Wicked Allure,Leslie C. Ferdinand,Adult Fiction;Erotica;Romance;Contemporary;Romance;Contemporary Romance;Romance;Erotic Romance,March 20th 2012,280,CreateSpace,
1761,The Marker,Meggan Connors,Romance;Historical Romance;Historical;Romance;Historical;Historical Fiction,December 14th 2011,287,Soul Mate Publishing,None
1762,To Seduce a Sinner,Elizabeth Hoyt,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,November 1st 2008,359,Forever,English
1763,Laura Meets Jeffrey: Both Sides of an Erotic Memoir,Jeffrey Michelson;Laura  Bradley,Erotica;Bdsm;Adult Fiction;Erotica;Erotica;Menage;Romance;Contemporary;Nonfiction,June 7th 2012,338,New Blue Books,
1764,Charming,Susie Kaye Lopez,Romance;Young Adult;Fantasy,,None,,None
1765,Geschichte machen,Stephen Fry;Ulrich Blumenbach,Fiction;Science Fiction;Science Fiction;Alternate History;Humor;Historical;Historical Fiction;Science Fiction;Time Travel,,460,Rowohlt Taschenbuch Verlag,German
1766,Stretch,Brian Black,,November 16th 2010,224,Createspace,None
1767,Mars on the Rise,Rae Gee,Science Fiction;Steampunk;Romance;M M Romance;Science Fiction;Fantasy;Fiction,April 25th 2012,295,Torquere Press,
1768,Eternal Vows,Chrissy Peebles,Fantasy;Romance;Fantasy;Paranormal;Young Adult;Science Fiction;Time Travel;Fantasy;Magic,March 5th 2012,280,Dark Shadows Publishing,
1769,A Bed of Spices,Barbara Samuel,Romance;Historical Romance;Romance;Historical;Historical;Medieval;Historical;Historical Fiction,August 19th 2010,352,Smashwords Edition,;
1770,Plead Forgiveness (Loyalty; #1),Aury Dobsyn,Romance;Historical Romance;Historical;Cultural;Scotland;Romance;Historical;Medieval,August 13th 2012,370,,None
1771,Remembrance,Michelle Madow,Young Adult;Romance;Fantasy;Science Fiction;Time Travel;Fantasy;Paranormal,July 25th 2011,324,Dreamscape Publishing,
1772,a small lie,Teana Rowland,,April 6th 2012,230,Neepradaka Press,None
1773,Fruits Basket; Vol. 1,Natsuki Takaya;Alethea Nibley;Athena Nibley,Sequential Art;Manga;Fantasy;Sequential Art;Graphic Novels;Romance;Young Adult;Sequential Art;Comics,February 10th 2004,216,TokyoPop Inc,English
1774,The Lure of the Moon,Melinda Clark;Nicole Gulla,Fantasy;Romance;Young Adult;Fiction;Mystery,August 23rd 2012,469,,;
1775,Forever Yours,Nicole Salmond,Romance;Young Adult;Contemporary,October 2012,192,,None
1776,Give Us Forever (Harlequin Superromance No. 19),Constance F. Peale,,May 1982,304,Harlequin,English
1777,Mad Love,Suzanne Selfors,Young Adult;Romance;Fantasy;Fantasy;Mythology;Contemporary,January 4th 2011,326,Walker & Company,English
1778,The Crown of Embers,Rae Carson,Fantasy;Young Adult;Romance;Fantasy;Magic;Young Adult;Young Adult Fantasy,September 18th 2012,410,Greenwillow Books,English
1779,Ocean's Kiss,J.T. Cheyanne,Romance,September 18th 2012,82,Decadent Publishing,None
1780,The Map of Love,Ahdaf Soueif;أهداف سويف,Fiction;Historical;Historical Fiction;Northern Africa;Egypt;Novels,September 12th 2000,529,Anchor Books,English
1781,Life Eternal,Yvonne Woon,Young Adult;Fantasy;Paranormal;Fantasy;Romance;Fantasy;Supernatural,January 24th 2012,392,Disney-Hyperion,English
1782,Nick of Time,Komal Mehta,Romance,May 2012,248,Penguin Books India,None
1783,To Stand Beside Her,B. Kristin McMichael,Fantasy;Romance;Young Adult,January 24th 2013,348,Createspace,None
1784,To Trust a Thief,Michelle McLean,Romance;Historical Romance;Historical;Romance;Historical;Historical Fiction,January 21st 2013,267,Entangled Publishing; LLC (Scandalous),None
1785,Black Girl Lost,Donald Goines,Fiction;Cultural;African American;Urban,November 1st 2006,208,Holloway House,English
1786,Reverb,J. Cafesin,Romance;Contemporary;Fiction;Thriller;Mystery Thriller;Dark;Adult,January 19th 2013,326,Entropy Press,None
1787,Stony Creek Cowboy,Taylor Berke,Romance;Adult Fiction;Erotica;Contemporary;Did Not Finish;Westerns;Romance;Western Romance;Romance;Erotic Romance,January 3rd 2013,217,Siren Publishing,
1788,30 Days,K. Larsen,Sociology;Abuse;Romance;Dark,,228,Writer's Edge Publishing,
1789,eloves me eloves me not,L.A. Johannesson,Romance;Womens Fiction;Chick Lit;Romance;Contemporary Romance,November 9th 2012,418,CreateSpace,None
1790,Finding Redemption,Jasmine Abbey,,January 30th 2013,174,,None
1791,Angelface (Angelface; #1),Valentine;,,November 27th 2012,363,,None
1792,Difference of Hearts,Aileene Pollard;Joe Pollard,,January 3rd 2013,198,Createspace,None
1793,Rising of a Dead Moon,Paul Haston,Historical;Historical Fiction;Fiction;Cultural;India;Cultural;Africa;War,October 9th 2012,238,Magic Ink Press,
1794,Swept,Becca Lee Nyx,New Adult;Adult Fiction;Erotica;Business;Amazon;Academic;College,March 11th 2013,176,Becca Lee Nyx,
1795,Reality Boulevard,Melissa Jo Peltier,Fiction;Own,February 11th 2013,329,Apostrophe Books,None
1796,Her Fake Romance,Donna Fasano,Romance;Romance;Contemporary Romance,August 8th 2012,176,Hard Knocks Books,None
1797,Dysfunctional Romance!,Derick Hudson,Romance;Humor;Contemporary;Fiction,January 5th 2012,253,Amazon Digital Services,None
1798,In a Heartbeat,Teodora Kostova,New Adult;Romance;Contemporary;Young Adult;Romance;Contemporary Romance,March 31st 2013,None,,None
1799,1 Plan para Amarte,Irene de Westminster,Historical;Historical;Regency,March 1st 2013,218,,
1800,Hell; Fire & Freedom,Shannon Callahan,Sociology;Abuse;Romance;Contemporary Romance;Romance;Contemporary;Suspense,May 9th 2013,193,,
1801,Wild Ride,Rebecca M. Avery,Romance,April 13th 2013,364,Amazon Digital Services; Inc.,
1802,Selling Scarlett,Ella James,Romance;New Adult;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance,April 13th 2013,269,Barkley's Books,
1803,And We Will Be Formless And Sacred As The Ocean,Lee Vidor,,,None,,None
1804,Ricasoli Soldier: A Novel Inspired by True Events,Joe Scicluna,Romance;Cultural;Italy;Literature;19th Century;Historical;Historical Fiction,,None,FARAXA Publishing (USA),
1805,Silver Linings,Kate  James,Romance,,247,General Store Pub. House,None
1806,CRAZY LOVE - verrückt verliebt,Eileen Janket,,August 7th 2012,225,JPubs Berlin,
1807,Dreams of Love: A Book of Poems and Short Stories,Carla Golian,,April 13th 2013,120,Createspace Independent Publishing Platform,None
1808,Absolutely Unforgivable,Tracy Tegan,Romance;Contemporary Romance;Romance;New Adult;Business;Amazon,May 10th 2013,338,Tracy Tegan,
1809,The Sorrow's Garden,Anthony Carinhas,Historical;Historical Fiction;Fiction;Young Adult,April 1st 2012,106,Autonomous Publications,None
1810,Spiritus Mundi - The Romance,Robert   Sheppard,Literature;Banned Books,April 2013,None,Amazon/Smashwords,
1811,Stranded,J.C. Valentine,Adult Fiction;Erotica;Romance;Romance;Contemporary Romance;Contemporary,November 2nd 2012,98,J.C. Valentine,
1812,She's So Dead to Us,Kieran Scott,Young Adult;Romance;Contemporary;Womens Fiction;Chick Lit;Young Adult;High School,May 25th 2010,278,Simon  Schuster Books for Young Readers,English
1813,On Time,Teisha Mott,,,None,,
1814,When the Heart Falls,Alex Lux,Romance;Contemporary;Romance;Contemporary Romance,July 2nd 2013,336,Daring Books,
1815,The Wide Game,Michael  West,Horror;Mystery;Suspense;Fantasy;Paranormal;Fantasy,June 23rd 2003,269,,English
1816,Shadows in the Silence,Courtney Allison Moulton,Paranormal;Angels;Young Adult;Fantasy;Fantasy;Paranormal;Romance,January 29th 2013,469,Katherine Tegen Books,English
1817,Einstein: His Life and Universe,Walter Isaacson,Biography;Nonfiction;Science;History,April 10th 2007,551,Simon & Schuster,English
1818,Glass Hearts,Lisa De Jong,New Adult;Romance;Romance;Contemporary Romance;Contemporary;Academic;College,June 25th 2013,187,Lisa De Jong,
1819,An Accidental Affair,Holly Blackstone,Adult Fiction;Erotica;Romance;Romance;Contemporary Romance,March 28th 2013,None,Linlithglow Press,
1820,Undescribable,Shantel Tessier,Romance;New Adult;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica,July 21st 2013,384,Shantel Tessier,
1821,Butterfly (part 1),Violet Gregory,Drama,September 1st 2013,72,Grayson Magic Publishing Ltd,None
1822,The Sheikh's Impatient Virgin,Kim Lawrence,Romance;Category Romance;Harlequin;Harlequin;Harlequin Presents;Fiction,March 2010,192,Harlequin Books,English
1823,Nightmarish Sacrifice,Simona Panova,Suspense;Mystery,August 19th 2013,504,Createspace,None
1824,Love Letters,Katie Fforde,Womens Fiction;Chick Lit;Romance;Fiction;Contemporary;Romance;Contemporary Romance,June 4th 2009,400,Century,English
1825,Lennon's Rain,Chris  Myers,New Adult;Romance,September 30th 2013,304,Books on the Edge,
1826,The Valentine/Petrilo Series,Reyna Hawk,Romance;Romantic Suspense,May 24th 2013,680,Hawklyn Publishing,None
1827,Jezebel,Koko Brown,Romance;Historical Romance;Romance;Historical;Romance;Interracial Romance;Sports and Games;Sports;Warfare;Fighters,April 2nd 2013,315,,None
1828,Sweet Memories,Steena Holmes,Romance;Novella;Romance;Contemporary Romance;Fiction,August 20th 2013,None,Steena Holmes,
1829,The Lost Memoirs of Jane Austen,Syrie James,Historical;Historical Fiction;Fiction;Romance;Historical;Womens Fiction;Chick Lit;Historical;Regency;Adult Fiction;European Literature;British Literature;Classics;Writing;Books About Books,November 6th 2007,303,William Morrow Paperbacks,English
1830,EXcapades,Debra  Kay,Romance;Adult Fiction;Erotica,May 15th 2013,202,Debra Kay,None
1831,Chance,A.C. Heller,,November 16th 2013,164,A.C. Heller,
1832,Shh...Mine,Shannon Dianne,Romance;Romance;Interracial Romance,October 15th 2013,224,Amazon Direct Publishing,
1833,Unexpected Gifts,S.R. Mallery,Historical;Historical Fiction;Historical;Adult,April 16th 2013,382,Mockingbird Lane Press,None
1834,The Friend Zone: Chloe and Skye,Tabetha Thompson,New Adult;Contemporary,December 18th 2013,None,CreateSpace Independent Publishing Platform,
1835,Ruby in the Dust,Julie Farrell,Romance;Womens Fiction;Chick Lit;Contemporary,October 8th 2013,344,D Z Publishing,None
1836,Running,H. Carlin,,October 20th 2013,107,Smashwords,None
1837,The Secret and the Flame,J. Hopfinger,Romance,October 18th 2013,308,,None
1838,Whispers Among The Jasmine,W.M. Laissue,,November 11th 2013,303,Smashwords Edition,None
1839,Allure,Nina Lane,Romance;Romance;Contemporary Romance;Contemporary;Adult Fiction;Erotica;Adult,May 14th 2013,392,Snow Queen Publishing,
1840,Agent with a History,Guy S. Stanton III,Mystery;Christian Fiction;Romance;Romance;Romantic Suspense;Christian,October 20th 2013,None,Words of Action,
1841,Emerald Eyes,N. Michaels,Romance;Contemporary Romance;Romance;Contemporary;Adult Fiction;Erotica,November 1st 2013,299,Amazon Digital Services,
1842,Passion from the Vine,Shannon Casey,Romance,October 29th 2013,188,Authorhouse,None
1843,Love Reborn,Tamara Zeegers,Novels,May 26th 2013,392,smashwords,
1844,The Lost Books of Wizardry,Marble Green,,October 21st 2013,142,CreateSpace Independent Publishing Platform,None
1845,Blue Love,M.J. Fields,New Adult;Romance;Sports and Games;Sports;Young Adult,November 4th 2013,444,,
1846,A Twist of Fate,T. Gephart,Romance;Adult Fiction;Erotica;Romance;Contemporary Romance;Contemporary,August 26th 2013,220,T Gephart,
