,id,_id,ltable_id,rtable_id,ltable_Title,ltable_Authors,ltable_Genres,ltable_Publishing Date,ltable_Pages,ltable_Publisher,ltable_Language,rtable_Title,rtable_Authors,rtable_Genres,rtable_Publishing Date,rtable_Pages,rtable_Publisher,rtable_Language,match
203,27291,27291,1514,860,The Secret Dreamworld Of A Shopaholic : (Shopaholic Book 1),Sophie Kinsella,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jan 2006,320,Transworld Publishers Ltd,English,Confessions of a Shopaholic,Sophie Kinsella,Womens Fiction;Chick Lit;Humor;Funny;Adult Fiction;Romance;Contemporary Romance;Humor;Comedy;Humor;Romance;Young Adult;European Literature;British Literature;Novels,November 4th 2003,368,Dell Publishing Company,English,0
84,10758,10758,1779,294,The Night Circus,Erin Morgenstern,Contemporary Fiction:Historical Romance:Historical Romance:Historical Fiction,03 Jul 2012,528,Turtleback Books,English,The Night Circus,Erin Morgenstern,Historical;Historical Fiction;Adult;Adult Fiction,September 13th 2011,400,Doubleday,English,1
121,15853,15853,1208,432,Archangel's Shadows : Book 7,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,06 Nov 2014,384,Orion Publishing Co,English,Angels' Blood,Nalini Singh,Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Angels;Fantasy;Paranormal;Vampires,March 3rd 2009,339,Berkley Sensation,,0
482,80742,80742,1684,3548,A Night to Surrender,Tessa Dare,Contemporary Fiction:Historical Romance:Historical Romance,30 Aug 2011,400,HarperCollins Publishers Inc,English,Surrender of a Siren,Tessa Dare,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Fiction,August 25th 2009,384,Ballantine Books,English,0
434,71287,71287,3418,3094,Letters to Penthouse: Letters To Penthouse Xxx Extreme Sex Maximum Pleasure XXX,Editors of Penthouse,Erotic Fiction,01 Jan 2008,352,Little Brown & Company,English,Letters to a War Zone,Lucy Felthouse,Romance;M M Romance;Adult Fiction;Erotica;Romance;Contemporary,March 28th 2014,28,Totally Bound,,0
460,76001,76001,1597,3308,Midnight in Austenland : A Novel,Shannon Hale,Contemporary Fiction:Historical Romance:Historical Romance,28 Mar 2013,288,Bloomsbury Publishing PLC,English,Austenland,Shannon Hale,Fiction;Contemporary;Adult;Adult Fiction,May 29th 2007,197,Bloomsbury Publishing PLC,English,0
454,75130,75130,2231,3268,The Promise In A Kiss : Number 8 in series,Stephanie Laurens,Historical Romance:Historical Romance,01 Dec 2007,400,Little Brown Book Group,English,The Fallen Series Boxed Set,Lauren Kate,Young Adult;Fantasy;Romance;Fantasy;Paranormal;Paranormal;Angels;Paranormal;Demons,October 23rd 2012,None,Delacorte Press,,0
384,63952,63952,1025,2716,Immortals After Dark #6: Kiss of a Demon King,Kresley Cole,Romance:Romance Books,21 Jul 2009,352,SIMON & SCHUSTER,English,Deep Kiss of Winter,Kresley Cole;Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Vampires;Fantasy,October 13th 2009,426,Pocket Books,English,0
91,11733,11733,80,315,"The Princess Bride : S. Morgenstern's Classic Tale of True Love and High Adventure; The ""Good Parts"" Version",William Goldman,Classic Books & Novels:Adventure Books:Fantasy:Fantasy Books:Romance:Romance Books:Historical Fiction,06 Feb 2008,456,Harcourt Children's Books,English,The Princess Bride,William Goldman,Fantasy;Science Fiction Fantasy;Young Adult,July 15th 2003,398,Ballantine Books (Ballantine Reader's Circle),English,1
82,10565,10565,3869,290,Amante Liberada #9 / Lover Unleashed #9,JR Ward,Horror:Horror:Erotic Fiction:Romance:Romance Books,27 Dec 2016,606,DEBOLSILLO,Spanish,Lover Unleashed,J.R. Ward,Fantasy;Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Fantasy;Urban Fantasy;Paranormal;Vampires,March 29th 2011,512,NAL,English,1
267,34941,34941,350,1154,Dragonfly in Amber,Diana Gabaldon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance:Historical Fiction,07 Aug 2001,743,Bantam Doubleday Dell Publishing Group Inc,English,Dragonfly in Amber,Diana Gabaldon;Sven Christer Swahn;Gunilla Leining,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical,August 7th 2001,743,Bantam,English,1
119,15838,15838,1072,432,Archangel's Consort : Book 3,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,10 Feb 2011,336,Orion Publishing Co,English,Angels' Blood,Nalini Singh,Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Angels;Fantasy;Paranormal;Vampires,March 3rd 2009,339,Berkley Sensation,,0
358,54689,54689,2113,2207,The Untamed Bride : Number 1 in series,Stephanie Laurens,Historical Romance:Historical Romance:Historical Fiction,27 Nov 2009,368,Little Brown Book Group,English,The Untamed Bride,Stephanie Laurens,Romance;Romance;Historical Romance;Historical;Historical;Regency;Historical Romance;Regency Romance,October 27th 2009,356,Avon,,1
291,38457,38457,220,1334,Walking Disaster,Jamie Mcguire,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Apr 2013,433,SIMON & SCHUSTER,English,Walking Disaster,Jamie McGuire,Romance;Contemporary;Romance;Contemporary Romance;Young Adult;Academic;College,April 2nd 2013,448,Atria Books,English,1
57,7249,7249,3055,207,Sylvia Day Crossfire Series 4-Volume Boxed Set : Bared to You/Reflected in You/Entwined with You/Captivated by You,Sylvia Day,Adult & Contemporary Romance:Adult & Contemporary Romance,27 Jan 2015,None,Berkley Books,English,Reflected in You,Sylvia Day,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Adult,October 23rd 2012,338,Berkley,English,0
321,45168,45168,2445,1634,Nobody's Baby But Mine,Susan Elizabeth Phillips,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,Baby; Don't Go,Susan Andersen,Romance;Romance;Contemporary Romance;Womens Fiction;Chick Lit;Romance;Romantic Suspense,March 25th 2014,357,Avon,None,0
257,34130,34130,1232,1123,Rogue Rider,Larissa Ione,Contemporary Fiction:Horror:Horror:Romance:Romance Books,20 Nov 2012,432,Time Warner Trade Publishing,English,Lethal Rider,Larissa Ione,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Paranormal;Angels;Fantasy;Paranormal;Vampires,May 22nd 2012,464,Piatkus Books,English,0
376,61019,61019,270,2575,Succubus Blues,Richelle Mead,Contemporary Fiction:Fantasy:Fantasy Books:Romance:Romance Books,05 Aug 2010,384,Kensington Publishing,English,Succubus Shadows,Richelle Mead,Fantasy;Urban Fantasy;Fantasy;Paranormal;Fantasy;Romance;Romance;Paranormal Romance;Paranormal;Demons;Paranormal;Vampires,March 30th 2010,281,Kensington,English,0
446,73966,73966,319,3228,Sins of the Night,Sherrilyn Kenyon,Fantasy:Fantasy Books:Romance:Romance Books:Historical Romance:Historical Romance,01 Jul 2005,384,St Martin's Press,English,Night Play,Sherrilyn Kenyon,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Vampires;Fantasy;Urban Fantasy,August 2004,362,St. Martin's Press,English,0
42,5014,5014,428,145,Lord of Scoundrels,Loretta Chase,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,08 Jul 2011,384,HarperCollins Publishers Inc,English,Lord of Scoundrels,Loretta Chase,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Fiction,January 1995,375,Avon Books,English,1
105,14226,14226,537,382,To Distraction,Stephanie Laurens,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,18 Aug 2011,483,HarperCollins Publishers Inc,English,The Mane Attraction,Shelly Laurenston,Fantasy;Paranormal;Romance;Paranormal Romance;Romance;Paranormal;Shapeshifters,October 28th 2008,320,Brava,English,0
388,64682,64682,3441,2762,The Juliette Society Book III: the Mismade Girl : The Mismade Girl,Sasha Grey,Erotic Fiction,25 Mar 2018,216,Cleis Press,English,Unbroken: A World War II Gay Story of Survival: (M/M Erotic Romance Mega Bundle) (Gay Experience Book 2),M.R. Grey,,February 24th 2015,None,Gay Experience,None,0
467,78090,78090,2815,3413,A Time for Renewal : Book Two in the the gripping uplifting Rivenshaw Saga set at the close of World War Two,Anna Jacobs,Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Sagas,12 Jul 2016,352,Hodder & Stoughton General Division,English,Green Smoothie: Everyday Green Smoothie For Beginners(10 Day Green Smoothie Cleanse; green smoothies; green smoothies detox; green smoothies recipes; green ... Diet) (healthy food for everyday Book 9),Anna Scott,Nonfiction;Food and Drink;Diets;Food and Drink;Cookbooks;Health,February 22nd 2015,61,BB Link,None,0
273,35656,35656,516,1170,Lady Isabella's Scandalous Marriage,Jennifer Ashley,Historical Romance:Historical Romance,20 Mar 2013,325,Penguin Putnam Inc,English,Lady Isabella's Scandalous Marriage,Jennifer Ashley,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,July 6th 2010,316,Berkley Sensation,English,1
444,73118,73118,60,3188,Gone Girl,Gillian Flynn,Contemporary Fiction:Crime:Crime Fiction:Romance:Romance Books,25 Sep 2014,512,Orion Publishing Co,English,Gone Girl,Gillian Flynn,Mystery;Fiction;Mystery;Crime;Contemporary;Thriller,May 24th 2012,444,Orion,English,1
38,4474,4474,774,133,Captive in the Dark : The Dark Duet,Cj Roberts,Erotic Fiction,18 Jun 2013,205,Neurotica Books,English,Captive in the Dark,C.J. Roberts,Dark;Adult Fiction;Erotica;Erotica;Bdsm;Romance;Adult;Contemporary;Sociology;Abuse;New Adult;Romance;Contemporary Romance;Romance;Erotic Romance,July 20th 2011,276,CJ Roberts,,1
389,65193,65193,2161,2783,Always a Scoundrel,Suzanne Enoch,Romance:Romance Books:Historical Romance:Historical Romance,06 Jul 2011,384,HarperCollins Publishers Inc,English,Always a Scoundrel,Suzanne Enoch,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical Romance;Regency Romance;Historical;Historical Fiction,April 28th 2009,373,Avon,English,1
53,6485,6485,253,191,Devil in Spring,Lisa Kleypas,Historical Romance:Historical Romance,21 Feb 2017,384,AVON BOOKS,English,Scandal in Spring,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,July 25th 2006,374,Avon,English,0
420,69580,69580,2361,3017,Just Wicked Enough,Lorraine Heath,Historical Romance:Historical Romance,06 Sep 2007,384,HarperCollins Publishers Inc,English,Passions of a Wicked Earl,Lorraine Heath,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,October 26th 2010,384,Avon,,0
437,71297,71297,3934,3094,Letters To Penthouse Xxxvi : Sultry Passions Sinful Desires,Editors of Penthouse,Erotic Fiction,04 Jan 2010,304,Little Brown & Company,English,Letters to a War Zone,Lucy Felthouse,Romance;M M Romance;Adult Fiction;Erotica;Romance;Contemporary,March 28th 2014,28,Totally Bound,,0
128,16086,16086,201,441,Bloodfever,Karen Marie Moning,Fantasy:Fantasy Books:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Aug 2008,349,Random House USA Inc,English,Bloodfever,Karen Marie Moning,Fantasy;Urban Fantasy;Fantasy;Fantasy;Paranormal;Romance;Romance;Paranormal Romance;Fairies;Fae,October 16th 2007,303,Delacorte Press,English,1
290,38454,38454,43,1334,Beautiful Disaster,Jamie Mcguire,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Aug 2012,432,Simon & Schuster Ltd,English,Walking Disaster,Jamie McGuire,Romance;Contemporary;Romance;Contemporary Romance;Young Adult;Academic;College,April 2nd 2013,448,Atria Books,English,0
28,2910,2910,1234,90,Bridget Jones's Diary (Film Tie-in),Helen Fielding,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Sci Fi Books for Kids,23 Mar 2001,320,Pan MacMillan,English,Bridget Jones's Diary,Helen Fielding,Womens Fiction;Chick Lit;Fiction;Romance;Humor;Contemporary,June 1st 1999,288,Penguin Books,English,1
183,23631,23631,1089,720,Archangel's Heart : Book 9,Nalini Singh,Fantasy:Fantasy Books:Romance:Romance Books,03 Nov 2016,400,Orion Publishing Co,English,Archangel's Consort,Nalini Singh,Paranormal;Angels;Fantasy;Paranormal;Fantasy;Urban Fantasy;Romance;Paranormal Romance;Romance;Paranormal;Vampires;Fantasy,February 10th 2011,324,Gollancz,,0
370,59145,59145,2496,2434,After We Collided,Anna Todd,Contemporary Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,13 Mar 2015,688,SIMON & SCHUSTER,English,After We Fell,Anna Todd,Romance;New Adult;Contemporary,December 30th 2014,848,Gallery Books,English,0
163,21161,21161,2099,622,A Rake's Vow : Number 2 in series,Stephanie Laurens,Historical Romance:Historical Romance,08 Feb 2007,400,Little Brown Book Group,English,A Rake's Vow,Stephanie Laurens,Romance;Historical Romance;Historical;Romance;Historical;Regency;Historical Romance;Regency Romance;Historical;Historical Fiction,October 1st 1998,374,Avon,English,1
151,20024,20024,3458,576,One Dom to Love : The Doms of Her Life - Book 1,Shayla Black:Jenna Jacob:Isabella Lapearl,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,24 Dec 2012,236,Shelley Bradley LLC,English,Can't Help Falling in Love,Bella Andre,Romance;Romance;Contemporary Romance;Contemporary,December 2011,200,Bella Andre; via Smashwords,,0
244,33460,33460,197,1095,Archangel's Storm,Nalini Singh,Romance:Romance Books,04 Sep 2012,337,Penguin Putnam Inc,English,Archangel's Blade,Nalini Singh,Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Urban Fantasy;Romance;Paranormal;Angels;Fantasy;Paranormal;Vampires,September 6th 2011,310,Berkley Sensation,English,0
202,27141,27141,1801,849,Into the Dreaming (with Bonus Material),Karen Marie Moning,Contemporary Fiction:Science Fiction:Science Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,24 Apr 2012,272,Random House USA Inc,English,Into the Dreaming,Karen Marie Moning,Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Science Fiction;Time Travel;Romance;Historical Romance;Fantasy,August 29th 2006,112,Jove,English,0
31,2954,2954,2480,92,Natural Born Charmer,Susan Elizabeth Phillips,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Jul 2009,394,HarperCollins Publishers Inc,English,Natural Born Charmer,Susan Elizabeth Phillips,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Sports and Games;Sports;Contemporary Romance;Sports Romance,February 6th 2007,400,William Morrow,English,1
32,3113,3113,2242,97,The Stolen Mackenzie Bride,Jennifer Ashley,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,01 Dec 2015,323,Penguin Putnam Inc,English,The Madness of Lord Ian Mackenzie,Jennifer Ashley,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Adult,May 1st 2009,320,Leisure Books,English,0
127,16077,16077,1215,440,Darker After Midnight,Lara Adrian,Fantasy:Fantasy Books:Romance:Romance Books,16 Jan 2012,416,Little Brown Book Group,English,Midnight Awakening,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,November 27th 2007,369,Dell,English,0
185,23687,23687,2237,724,Frederica,Georgette Heyer:Clifford Norgate,Historical Romance:Historical Romance:Historical Fiction,18 Nov 2014,None,BRILLIANCE AUDIO,English,Frederica,Georgette Heyer,Romance;Historical;Historical Fiction;Romance;Historical Romance;Historical;Historical;Regency;Fiction,August 27th 1992,384,Arrow,English,1
470,78763,78763,596,3445,Beautiful Bombshell,Christina Lauren,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,09 Dec 2013,160,SIMON & SCHUSTER,English,Beautiful Secret,Christina Lauren,Romance;Romance;Contemporary Romance;Contemporary;New Adult;Adult,April 14th 2015,401,Gallery Books,English,0
449,74157,74157,2280,3233,Hello Stranger,Lisa Kleypas,Historical Romance:Historical Romance,27 Feb 2018,400,Little Brown Book Group,English,When Strangers Marry,Lisa Kleypas,Romance;Historical Romance;Romance;Historical,August 1st 2002,390,Avon,English,0
288,38448,38448,946,1332,Knight's Game,C. C. Gibbs,Erotic Fiction,01 Jul 2013,448,Quercus Publishing,English,Knight's Game,C.C. Gibbs,Romance;Adult Fiction;Erotica;Erotica;Bdsm;Contemporary;Romance;Contemporary Romance,June 20th 2013,364,Quercus,,1
423,69863,69863,495,3031,Someone to Watch over ME,Lisa Kleypas,Romance:Romance Books:Historical Romance:Historical Romance,06 Jul 2011,374,HarperCollins Publishers Inc,English,Someone to Watch Over Me,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency,May 1st 1999,362,Avon,,1
398,66629,66629,1156,2869,Beautiful Secret,Christina Lauren,Contemporary Fiction:Thriller Books:Thrillers:Adult & Contemporary Romance:Adult & Contemporary Romance,14 Apr 2015,400,SIMON & SCHUSTER,English,Beautiful Torment,Paige Laurens,Romance;New Adult,February 23rd 2015,216,,,0
456,75878,75878,2352,3306,All About Love : Number 6 in series,Stephanie Laurens,Historical Romance:Historical Romance,01 Sep 2007,512,Little Brown Book Group,English,The Fallen Series Trilogy,Lauren Kate,Fantasy;Romance;Paranormal;Angels;Young Adult;Romance;Paranormal Romance,,1320,,,0
147,19592,19592,355,560,Beyond The Highland Mist,Karen Marie Moning,Romance:Romance Books:Historical Romance:Historical Romance,01 Apr 2000,375,Bantam Doubleday Dell Publishing Group Inc,English,The Immortal Highlander,Karen Marie Moning,Romance;Romance;Paranormal Romance;Fantasy;Paranormal;Fantasy;Science Fiction;Time Travel;Romance;Historical Romance,July 26th 2005,348,Dell,English,0
285,38103,38103,1172,1312,Kiss of the Night,Sherrilyn Kenyon,Contemporary Fiction:Romance:Romance Books,30 Apr 2010,384,St Martin's Press,English,Kiss of the Night,Sherrilyn Kenyon,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Paranormal;Vampires,April 19th 2004,361,St. Martin's Press,English,1
466,76879,76879,3229,3361,Pideme lo que quieras o déjame: SERIE PIDEME LO QUE QUIERAS 3,Megan Maxwell,Erotic Fiction:Romance:Romance Books,01 Jul 2014,416,Booket,Spanish,Pídeme lo que quieras,Megan Maxwell,Romance;Adult Fiction;Erotica;Contemporary;Adult;Womens Fiction;Chick Lit;Romance;Erotic Romance;Erotica;Bdsm;European Literature;Spanish Literature;Did Not Finish;Abandoned,November 8th 2012,464,Esencia,,1
177,22316,22316,496,667,The Mackade Brothers: Devin & Shane : The Heart of Devin Mackade\The Fall of Shane Mackade,Nora Roberts,Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance,31 Dec 2013,457,Silhouette Books,English,The Return of Rafe MacKade,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Fiction,April 1st 1995,251,Silhouette,English,0
99,12698,12698,2515,329,The Darkest Promise,Gena Showalter,Horror:Horror:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,27 Mar 2018,512,HQN,English,The Darkest Secret,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,March 29th 2011,410,HQN Books,English,0
338,46163,46163,1646,1681,Kiss of Steel,Bec Mcmaster,Contemporary Fiction:Horror:Horror:Romance:Romance Books:Historical Romance:Historical Romance,01 Dec 2012,439,Sourcebooks Inc,English,Kiss of Steel,Bec McMaster,Science Fiction;Steampunk;Romance;Fantasy;Paranormal;Paranormal;Vampires;Fantasy;Romance;Paranormal Romance;Fantasy;Urban Fantasy,September 4th 2012,448,Sourcebooks Casablanca,English,1
448,74048,74048,2222,3231,To Sir Phillip with Love,Julia Quinn,Historical Romance:Historical Romance,31 Jan 2017,400,AVON BOOKS,English,To Sir Phillip; With Love: The Epilogue II,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction,September 1st 2009,22,Harper Collins,,0
431,70788,70788,2136,3075,One Night in Scotland,Karen Hawkins,Contemporary Fiction:Romance:Romance Books:Historical Romance:Historical Romance,18 Jan 2011,368,SIMON & SCHUSTER,English,One Night in Scotland,Karen Hawkins,Romance;Historical Romance;Romance;Historical;Cultural;Scotland;Historical;Historical Fiction,November 23rd 2010,335,Pocket Star,English,1
335,46091,46091,3357,1676,Beautiful Bastard. Un tipo odioso: Serie Beautiful Bastard 1,Christina Lauren,Erotic Fiction:Romance:Romance Books,03 Jun 2014,272,DEBOLSILLO,Spanish,Beautiful Broken Rules,Kimberly Lauren,New Adult;Romance;Academic;College;Contemporary;Romance;Contemporary Romance,May 14th 2013,225,,None,0
197,25326,25326,1221,784,Heart of Obsidian,Nalini Singh,Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,26 Nov 2013,371,Jove Books,English,Heart of Obsidian,Nalini Singh,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Fantasy;Urban Fantasy;Paranormal;Shapeshifters,June 4th 2013,360,Berkley Sensation,,1
243,33426,33426,2309,1093,Untamed Highlander,Donna Grant,Fantasy:Fantasy Books:Historical Romance:Historical Romance,10 May 2011,336,St Martin's Press,English,Sold to the Highest Bidder,Donna Alward,Romance;Romance;Contemporary Romance;Contemporary,February 1st 2011,216,Samhain Publishing,,0
464,76839,76839,1066,3356,Bayou Moon,Ilona Andrews,Fantasy:Fantasy Books:Romance:Romance Books,25 Jul 2011,462,Penguin Putnam Inc,English,Bayou Moon,Ilona Andrews,Fantasy;Urban Fantasy;Fantasy;Romance;Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Magic,October 2010,447,Penguin Berkley Ace,English,1
115,15758,15758,1557,430,Slightly Wicked,Mary Balogh,Historical Romance:Historical Romance,29 Apr 2003,342,Bantam Doubleday Dell Publishing Group Inc,English,Slightly Dangerous,Mary Balogh,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction,March 1st 2005,365,Dell,English,0
404,67567,67567,3898,2912,The Madam : Book 2 of the VIP Trilogy,M Robinson,Erotic Fiction,11 Jun 2015,272,Createspace Independent Publishing Platform,English,The Photographer Trilogy Box Set,Sarah  Robinson,Suspense;Romance;Mystery;Thriller;Mystery Thriller,January 1st 2015,999,,None,0
265,34878,34878,2421,1150,Lead,Kylie Scott,Adult & Contemporary Romance:Adult & Contemporary Romance,05 Nov 2015,320,Pan MacMillan,English,Lead,Kylie Scott,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Music,November 25th 2014,305,St. Martin's Griffin,English,1
72,8863,8863,400,248,Highlander Most Wanted,Maya Banks,Erotic Fiction:Romance:Romance Books:Historical Romance:Historical Romance,03 Jun 2013,352,Random House USA Inc,English,Seduction of a Highland Lass,Maya Banks,Romance;Historical Romance;Romance;Historical,September 27th 2011,323,Ballantine Books,English,0
333,46054,46054,2423,1676,Beautiful Boss,Christina Lauren,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,01 Mar 2016,144,SIMON & SCHUSTER,English,Beautiful Broken Rules,Kimberly Lauren,New Adult;Romance;Academic;College;Contemporary;Romance;Contemporary Romance,May 14th 2013,225,,None,0
25,2841,2841,3869,88,Amante Liberada #9 / Lover Unleashed #9,JR Ward,Horror:Horror:Erotic Fiction:Romance:Romance Books,27 Dec 2016,606,DEBOLSILLO,Spanish,Lover Eternal,J.R. Ward,Fantasy;Paranormal;Romance;Paranormal;Vampires;Romance;Paranormal Romance;Fantasy,March 7th 2006,441,Signet,English,0
165,21339,21339,3380,624,Wicked Intentions,Elizabeth Hoyt,Erotic Fiction:Myth & Legend Told As Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance:Historical Romance:Historical Romance:Historical Fiction,14 Oct 2014,388,Little Brown & Company,English,Wicked Intentions,Elizabeth Hoyt,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,August 1st 2010,382,Grand Central Publishing,English,1
337,46136,46136,1014,1678,On the Edge,Ilona Andrews,Fantasy:Fantasy Books:Romance:Romance Books,22 Jul 2011,326,Penguin Putnam Inc,English,On the Edge,Ilona Andrews,Fantasy;Urban Fantasy;Fantasy;Romance;Fantasy;Paranormal;Romance;Paranormal Romance;Fantasy;Magic,October 2009,309,Ace,English,1
483,80747,80747,1939,3548,Surrender of a Siren,Tessa Dare,Contemporary Fiction:Historical Romance:Historical Romance,25 Aug 2009,393,Random House USA Inc,English,Surrender of a Siren,Tessa Dare,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Fiction,August 25th 2009,384,Ballantine Books,English,1
174,22110,22110,1106,658,Ashes of Midnight,Lara Adrian,Fiction Books:Fantasy:Fantasy Books:Romance:Romance Books,07 Dec 2010,353,Random House USA Inc,English,Ashes of Midnight,Lara Adrian,Romance;Paranormal Romance;Fantasy;Paranormal;Paranormal;Vampires;Romance,May 26th 2009,368,Dell,English,1
486,81379,81379,2427,3575,Together : An epic love story with a secret you won't see coming,Julie Cohen,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Sep 2017,352,Orion Publishing Co,English,Like No Other Lover,Julie Anne Long,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction,October 16th 2008,385,HarperCollins e-books,,0
39,4699,4699,289,137,Secrets of a Summer Night,Lisa Kleypas,Historical Romance:Historical Romance,29 Dec 2015,384,HarperCollins Publishers Inc,English,Secrets of a Summer Night,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction;Historical;Regency;Adult,November 28th 2006,384,Avon,English,1
193,25093,25093,2305,778,Tamed By A Highlander : Number 3 in series,Paula Quinn,Contemporary Fiction:Historical Romance:Historical Romance,01 Jul 2011,400,Little Brown & Company,English,The Secret Diaries of Miss Miranda Cheever,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Fiction,June 26th 2007,373,Avon,English,0
314,43027,43027,3526,1536,Surrender to Me,Shayla Black,Contemporary Fiction:Erotic Fiction:Romance:Romance Books:Adult & Contemporary Romance:Adult & Contemporary Romance,02 Jul 2013,353,Penguin Putnam Inc,English,Surrender to Me,Shayla Black,Erotica;Bdsm;Adult Fiction;Erotica;Romance;Romance;Erotic Romance,March 1st 2011,353,Berkley Trade,English,1
396,66613,66613,578,2869,Beautiful Beginning,Christina Lauren,Contemporary Fiction:Adult & Contemporary Romance:Adult & Contemporary Romance,21 Nov 2013,208,SIMON & SCHUSTER,English,Beautiful Torment,Paige Laurens,Romance;New Adult,February 23rd 2015,216,,,0
88,11342,11342,212,307,The Darkest Secret,Gena Showalter,Romance:Romance Books,29 Mar 2011,416,HarperCollins Publishers,English,The Darkest Whisper,Gena Showalter,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy,September 1st 2009,406,HQN Books,English,0
472,78912,78912,457,3451,Silk Is for Seduction,Loretta Chase,Historical Romance:Historical Romance,28 Jun 2011,371,HarperCollins Publishers Inc,English,Silk Is for Seduction,Loretta Chase,Romance;Romance;Historical Romance;Historical;Historical;Historical Fiction;Historical;Regency,June 28th 2011,371,Avon,English,1
70,8355,8355,1266,234,Bed of Roses,Nora Roberts,Romance:Romance Books,29 May 2012,352,Jove Books,English,Bed of Roses,Nora Roberts,Romance;Romance;Contemporary Romance;Contemporary;Womens Fiction;Chick Lit;Fiction,October 27th 2009,335,Berkley,English,1
